Year,Manufacturer,Name,Displacement,Cylinders,City,Highway,Combined
2016,ALFA ROMEO,4C,18,4,24,34,28
2016,Aston Martin Lagonda Ltd,V12 Vantage S,60,12,12,18,14
2016,Aston Martin Lagonda Ltd,V8 Vantage,47,8,14,21,16
2016,Aston Martin Lagonda Ltd,V8 Vantage,47,8,13,19,15
2016,Aston Martin Lagonda Ltd,V8 Vantage S,47,8,14,21,16
2016,Aston Martin Lagonda Ltd,V8 Vantage S,47,8,13,19,15
2016,Aston Martin Lagonda Ltd,Vantage GT,47,8,14,21,16
2016,Aston Martin Lagonda Ltd,Vantage GT,47,8,13,19,15
2016,Audi,TT Roadster quattro,20,4,23,30,26
2016,BMW,M4 GTS,30,6,16,23,19
2016,BMW,Z4 sDrive28i,20,4,22,33,26
2016,BMW,Z4 sDrive28i,20,4,22,34,26
2016,BMW,Z4 sDrive35i,30,6,17,24,20
2016,BMW,Z4 sDrive35is,30,6,17,24,20
2016,Chevrolet,CORVETTE,62,8,13,23,16
2016,Chevrolet,CORVETTE,62,8,16,29,20
2016,Chevrolet,CORVETTE,62,8,15,22,18
2016,Chevrolet,CORVETTE,62,8,17,29,21
2016,Dodge,Viper SRT,84,10,12,21,15
2016,Ferrari,488 GTB,39,8,15,22,18
2016,Ferrari,488 GTB,39,8,16,22,18
2016,Ferrari,F12,63,12,11,16,13
2016,Ferrari,F12,63,12,12,16,13
2016,Ferrari,F12 tdf,63,12,12,17,13
2016,Ferrari,F12 tdf,63,12,11,15,12
2016,Ferrari,F60 America,63,12,12,15,13
2016,Ferrari,F60 America,63,12,11,15,13
2016,Honda,CR-Z,15,4,36,39,37
2016,Honda,CR-Z,15,4,31,38,34
2016,Jaguar,F-TYPE Convertible,30,6,19,28,22
2016,Jaguar,F-TYPE Convertible Manual,30,6,16,24,19
2016,Jaguar,F-TYPE Coupe,30,6,19,28,22
2016,Jaguar,F-TYPE Coupe Manual,30,6,16,24,19
2016,Jaguar,F-TYPE R AWD Convertible,50,8,15,23,18
2016,Jaguar,F-TYPE R AWD Coupe,50,8,15,23,18
2016,Jaguar,F-TYPE R Convertible,50,8,16,23,18
2016,Jaguar,F-TYPE S AWD Convertible,30,6,18,26,21
2016,Jaguar,F-TYPE S AWD Coupe,30,6,18,26,21
2016,Jaguar,F-TYPE S Convertible,30,6,19,27,22
2016,Jaguar,F-TYPE S Convertible Manual,30,6,15,24,18
2016,Jaguar,F-TYPE S Coupe,30,6,19,27,22
2016,Jaguar,F-TYPE S Coupe Manual,30,6,15,24,18
2016,Lamborghini,Aventador Coupe,65,12,11,18,13
2016,Lamborghini,Aventador Roadster,65,12,10,17,12
2016,Lamborghini,Huracan,52,10,14,21,17
2016,Lamborghini,Huracan Spyder,52,10,14,20,16
2016,MAZDA,MX-5,20,4,27,36,30
2016,MAZDA,MX-5,20,4,27,34,30
2016,McLaren,570S Coupe,38,8,16,23,19
2016,McLaren,650S Coupe,38,8,16,22,18
2016,McLaren,650S Spider,38,8,16,22,18
2016,McLaren,675LT Coupe,38,8,16,22,18
2016,Mercedes-Benz,AMG GT S,40,8,16,22,18
2016,Mercedes-Benz,AMG SL 63,55,8,16,25,19
2016,Mercedes-Benz,AMG SL 65,60,12,14,21,17
2016,Mercedes-Benz,AMG SLK 55,55,8,19,28,22
2016,Mercedes-Benz,SL 400,30,6,20,27,23
2016,Mercedes-Benz,SL 550,47,8,16,24,19
2016,Mercedes-Benz,SLK 300,20,4,25,32,28
2016,Mercedes-Benz,SLK 350,35,6,21,29,24
2016,Mercedes-Benz,Smart fortwo (COUPE),9,3,34,39,36
2016,Mercedes-Benz,Smart fortwo (COUPE),9,3,32,39,35
2016,NISSAN,370Z,37,6,19,26,21
2016,NISSAN,370Z,37,6,18,26,21
2016,NISSAN,370Z Roadster,37,6,18,25,21
2016,NISSAN,370Z Roadster,37,6,17,24,20
2016,Pagani Automobili S.p.A.,Huayra Coupe,60,12,11,17,13
2016,Porsche,911 GT3,38,6,15,20,17
2016,Porsche,911 GT3RS,40,6,14,20,16
2016,Porsche,Boxster,27,6,22,32,26
2016,Porsche,Boxster,27,6,20,30,24
2016,Porsche,Boxster GTS,34,6,22,31,25
2016,Porsche,Boxster GTS,34,6,19,26,22
2016,Porsche,Boxster S,34,6,21,30,24
2016,Porsche,Boxster S,34,6,20,28,23
2016,Porsche,Boxster Spyder,38,6,18,24,20
2016,Porsche,Cayman,27,6,22,32,26
2016,Porsche,Cayman,27,6,20,30,24
2016,Porsche,Cayman GT4,38,6,18,23,20
2016,Porsche,Cayman GTS,34,6,22,31,25
2016,Porsche,Cayman GTS,34,6,19,26,22
2016,Porsche,Cayman S,34,6,21,30,24
2016,Porsche,Cayman S,34,6,20,28,23
2016,Aston Martin Lagonda Ltd,DB9,59,12,13,19,15
2016,Aston Martin Lagonda Ltd,Vanquish,60,12,13,21,16
2016,Ferrari,California T,39,8,16,23,19
2016,Ferrari,California T,39,8,16,23,18
2016,FIAT,500,14,4,24,32,27
2016,FIAT,500,14,4,27,34,30
2016,FIAT,500,14,4,28,34,30
2016,FIAT,500,14,4,31,40,34
2016,FIAT,500 Abarth,14,4,24,32,27
2016,FIAT,500 Abarth,14,4,28,34,30
2016,Mini,Mini Cooper Convertible,15,4,27,37,31
2016,Mini,Mini Cooper Convertible,15,4,27,38,31
2016,Mini,Mini Cooper S Convertible,20,4,25,34,29
2016,Mini,Mini Cooper S Convertible,20,4,23,33,27
2016,Porsche,911 Carrera,34,6,20,28,23
2016,Porsche,911 Carrera,34,6,19,27,22
2016,Porsche,911 Carrera 4,34,6,20,28,23
2016,Porsche,911 Carrera 4,34,6,19,27,22
2016,Porsche,911 Carrera 4 Cabriolet,34,6,20,27,22
2016,Porsche,911 Carrera 4 Cabriolet,34,6,19,26,22
2016,Porsche,911 Carrera 4 GTS,38,6,19,26,21
2016,Porsche,911 Carrera 4 GTS,38,6,18,26,21
2016,Porsche,911 Carrera 4 GTS Cabriolet,38,6,18,25,21
2016,Porsche,911 Carrera 4 GTS Cabriolet,38,6,18,25,20
2016,Porsche,911 Carrera 4S,38,6,19,26,22
2016,Porsche,911 Carrera 4S,38,6,19,26,21
2016,Porsche,911 Carrera 4S Cabriolet,38,6,19,26,21
2016,Porsche,911 Carrera 4S Cabriolet,38,6,18,26,21
2016,Porsche,911 Carrera Cabriolet,34,6,21,28,23
2016,Porsche,911 Carrera Cabriolet,34,6,19,27,22
2016,Porsche,911 Carrera GTS,38,6,19,26,21
2016,Porsche,911 Carrera GTS,38,6,18,26,21
2016,Porsche,911 Carrera GTS Cabriolet,38,6,19,26,21
2016,Porsche,911 Carrera GTS Cabriolet,38,6,18,25,20
2016,Porsche,911 Carrera S,38,6,20,27,23
2016,Porsche,911 Carrera S,38,6,19,27,22
2016,Porsche,911 Carrera S Cabriolet,38,6,19,27,22
2016,Porsche,911 Carrera S Cabriolet,38,6,19,27,22
2016,Porsche,911 Targa 4,34,6,19,26,22
2016,Porsche,911 Targa 4,34,6,18,26,21
2016,Porsche,911 Targa 4 GTS,38,6,18,25,21
2016,Porsche,911 Targa 4 GTS,38,6,18,26,21
2016,Porsche,911 Targa 4S,38,6,18,25,21
2016,Porsche,911 Targa 4S,38,6,18,26,21
2016,Porsche,911 Turbo,38,6,17,24,20
2016,Porsche,911 Turbo Cabriolet,38,6,17,24,20
2016,Porsche,911 Turbo S,38,6,17,24,20
2016,Porsche,911 Turbo S Cabriolet,38,6,17,24,20
2016,SCION,FR-S,20,4,25,34,28
2016,SCION,FR-S,20,4,22,30,25
2016,Subaru,BRZ,20,4,25,34,28
2016,Subaru,BRZ,20,4,22,30,25
2016,Aston Martin Lagonda Ltd,Rapide S,60,12,14,22,17
2016,Audi,A3,18,4,23,33,27
2016,Audi,A3 Cabriolet,18,4,24,35,28
2016,Audi,A3 Cabriolet quattro,20,4,23,32,26
2016,Audi,A3 quattro,20,4,24,33,27
2016,Audi,A5 Cabriolet quattro,20,4,21,29,24
2016,Audi,A5 quattro,20,4,21,30,25
2016,Audi,A5 quattro,20,4,22,32,26
2016,Audi,S3,20,4,23,31,26
2016,Audi,S5,30,6,18,28,21
2016,Audi,S5,30,6,17,26,20
2016,Audi,S5 Cabriolet,30,6,18,26,21
2016,Audi,TT Coupe quattro,20,4,23,30,26
2016,Audi,TTS Coupe,20,4,23,27,25
2016,Bentley,Continental GT Convertible,40,8,14,24,17
2016,Bentley,Continental GT Convertible,60,12,12,20,15
2016,BMW,228i,20,4,23,35,27
2016,BMW,228i,20,4,22,34,26
2016,BMW,228i Convertible,20,4,23,34,27
2016,BMW,228i xDrive,20,4,23,35,27
2016,BMW,228i xDrive Convertible,20,4,22,34,26
2016,BMW,428i Convertible,20,4,23,34,27
2016,BMW,428i xDrive Convertible,20,4,21,33,25
2016,BMW,435i Convertible,30,6,20,31,24
2016,BMW,435i xDrive Convertible,30,6,20,29,23
2016,BMW,640i Convertible,30,6,20,31,24
2016,BMW,640i Coupe,30,6,20,31,24
2016,BMW,640i xDrive Convertible,30,6,20,29,23
2016,BMW,640i xDrive Coupe,30,6,20,29,23
2016,BMW,650i Convertible,44,8,17,25,20
2016,BMW,650i Coupe,44,8,17,25,20
2016,BMW,650i xDrive Convertible,44,8,15,24,18
2016,BMW,650i xDrive Coupe,44,8,16,25,19
2016,BMW,M2,30,6,20,27,23
2016,BMW,M2,30,6,18,26,21
2016,BMW,M235i,30,6,20,31,24
2016,BMW,M235i,30,6,19,28,22
2016,BMW,M235i Convertible,30,6,20,31,24
2016,BMW,M235i Convertible,30,6,19,26,22
2016,BMW,M235i xDrive,30,6,20,30,23
2016,BMW,M235i xDrive Convertible,30,6,20,30,23
2016,BMW,M4 Convertible,30,6,17,24,19
2016,BMW,M4 Convertible,30,6,17,26,20
2016,BMW,M6 Convertible,44,8,14,20,16
2016,BMW,M6 Convertible,44,8,15,22,17
2016,BMW,M6 Coupe,44,8,14,20,16
2016,BMW,M6 Coupe,44,8,15,22,17
2016,Buick,CASCADA,16,4,20,27,23
2016,Chevrolet,SPARK,14,4,31,41,35
2016,Chevrolet,SPARK,14,4,30,41,34
2016,Ford,Fiesta FWD,16,4,27,37,31
2016,Ford,Fiesta FWD,16,4,28,36,31
2016,Ford,Fiesta SFE FWD,10,3,31,43,36
2016,Ford,MUSTANG,23,4,21,32,25
2016,Ford,MUSTANG,23,4,22,31,25
2016,Ford,MUSTANG,37,6,19,28,22
2016,Ford,MUSTANG,37,6,17,28,21
2016,Ford,MUSTANG,50,8,16,25,19
2016,Ford,MUSTANG,50,8,15,25,19
2016,Ford,MUSTANG CONVERTIBLE,23,4,20,29,24
2016,Ford,MUSTANG CONVERTIBLE,50,8,15,24,18
2016,Ford,SHELBY GT350 MUSTANG,52,8,14,21,16
2016,HYUNDAI MOTOR COMPANY,Genesis Coupe,38,6,16,25,19
2016,HYUNDAI MOTOR COMPANY,Genesis Coupe,38,6,17,24,19
2016,LEXUS,RC 200t,20,4,22,32,26
2016,LEXUS,RC 300 AWD,35,6,19,26,21
2016,LEXUS,RC 350,35,6,19,28,22
2016,LEXUS,RC 350 AWD,35,6,19,26,21
2016,LEXUS,RC F,50,8,16,25,19
2016,MASERATI,GRANTURISMO,47,8,13,21,16
2016,MASERATI,GRANTURISMO CONVERTIBLE,47,8,13,20,15
2016,Mercedes-Benz,E 400 (convertible),30,6,20,29,24
2016,Mercedes-Benz,E 400 (coupe),30,6,20,29,24
2016,Mercedes-Benz,E 400 4MATIC (coupe),30,6,20,28,23
2016,Mercedes-Benz,E 550 (convertible),47,8,17,26,20
2016,Mercedes-Benz,E 550 (coupe),47,8,18,26,21
2016,Mini,MINI COOPER HARDTOP 2 DOOR,15,4,27,37,31
2016,Mini,MINI COOPER HARDTOP 2 DOOR,15,4,28,39,32
2016,Mini,MINI COOPER HARDTOP 4 DOOR,15,4,27,37,31
2016,Mini,MINI COOPER HARDTOP 4 DOOR,15,4,29,39,33
2016,Mini,Mini Cooper S Hardtop 2 door,20,4,26,33,29
2016,Mini,Mini Cooper S Hardtop 2 door,20,4,23,33,27
2016,Mini,Mini Cooper S Hardtop 4 door,20,4,26,33,29
2016,Mini,Mini Cooper S Hardtop 4 door,20,4,23,33,27
2016,Mini,MINI John Cooper Works Hardtop,20,4,25,31,28
2016,Mini,MINI John Cooper Works Hardtop,20,4,23,31,26
2016,NISSAN,GT-R,38,6,16,22,19
2016,Roush,Roush Stage 3 Mustang,50,8,13,23,16
2016,Roush,Roush Stage 3 Mustang,50,8,12,23,16
2016,SCION,iA,15,4,33,42,37
2016,SCION,iA,15,4,31,41,35
2016,Volkswagen,Beetle Convertible,18,4,25,34,28
2016,Volkswagen,Beetle Convertible,20,4,23,31,26
2016,Volkswagen,Beetle Convertible,20,4,23,31,26
2016,Volkswagen,Eos,20,4,22,30,25
2016,Acura,ILX,24,4,25,36,29
2016,Acura,TLX 2WD,24,4,24,35,28
2016,Acura,TLX 2WD,35,6,21,34,25
2016,Acura,TLX 4WD,35,6,21,31,25
2016,Audi,A4,20,4,24,31,27
2016,Audi,A4 quattro,20,4,21,30,25
2016,Audi,A4 quattro,20,4,22,32,26
2016,Audi,Q3,20,4,20,29,23
2016,Audi,Q3 quattro,20,4,20,28,23
2016,Audi,S4,30,6,18,28,21
2016,Audi,S4,30,6,17,26,20
2016,Bentley,Continental GT,40,8,15,25,19
2016,Bentley,Continental GT,60,12,12,21,15
2016,BMW,320i,20,4,24,36,28
2016,BMW,320i,20,4,23,36,28
2016,BMW,320i xDrive,20,4,23,35,27
2016,BMW,328d,20,4,32,42,36
2016,BMW,328d xDrive,20,4,30,40,34
2016,BMW,328i,20,4,23,35,27
2016,BMW,328i,20,4,22,34,26
2016,BMW,328i xDrive,20,4,22,34,26
2016,BMW,340i,30,6,22,33,26
2016,BMW,340i,30,6,20,30,23
2016,BMW,340i xDrive,30,6,22,33,26
2016,BMW,340i xDrive,30,6,20,29,23
2016,BMW,428i Coupe,20,4,23,35,27
2016,BMW,428i Coupe,20,4,22,34,26
2016,BMW,428i Gran Coupe,20,4,23,34,27
2016,BMW,428i xDrive Coupe,20,4,22,34,26
2016,BMW,428i xDrive Gran Coupe,20,4,22,34,26
2016,BMW,435i Coupe,30,6,20,31,24
2016,BMW,435i Coupe,30,6,20,30,23
2016,BMW,435i Gran Coupe,30,6,20,31,24
2016,BMW,435i xDrive Coupe,30,6,20,30,23
2016,BMW,435i xDrive Coupe,30,6,19,28,22
2016,BMW,435i xDrive Gran Coupe,30,6,20,30,23
2016,BMW,640i Gran Coupe,30,6,20,31,24
2016,BMW,640i xDrive Gran Coupe,30,6,20,29,23
2016,BMW,650i Gran Coupe,44,8,17,25,20
2016,BMW,650i xDrive Gran Coupe,44,8,15,24,18
2016,BMW,Alpina B6 Gran Coupe xDrive,44,8,15,24,18
2016,BMW,M3,30,6,17,24,19
2016,BMW,M3,30,6,17,26,20
2016,BMW,M4 Coupe,30,6,17,24,19
2016,BMW,M4 Coupe,30,6,17,26,20
2016,BMW,M6 Gran Coupe,44,8,14,20,16
2016,BMW,M6 Gran Coupe,44,8,15,22,17
2016,Buick,VERANO,20,4,21,30,24
2016,Buick,VERANO,20,4,20,31,24
2016,Buick,VERANO,24,4,21,32,25
2016,Cadillac,ATS,20,4,22,31,26
2016,Cadillac,ATS,20,4,20,29,23
2016,Cadillac,ATS,25,4,22,32,26
2016,Cadillac,ATS,36,6,20,30,24
2016,Cadillac,ATS AWD,20,4,22,30,25
2016,Cadillac,ATS AWD,36,6,19,28,22
2016,Cadillac,ATS-V,36,6,16,24,19
2016,Cadillac,ATS-V,36,6,17,23,19
2016,Chevrolet,CAMARO,20,4,22,31,25
2016,Chevrolet,CAMARO,20,4,21,30,24
2016,Chevrolet,CAMARO,36,6,19,28,23
2016,Chevrolet,CAMARO,36,6,18,27,21
2016,Chevrolet,CAMARO,62,8,17,28,20
2016,Chevrolet,CAMARO,62,8,16,25,19
2016,Chevrolet,CRUZE,14,4,30,42,35
2016,Chevrolet,CRUZE,14,4,29,41,33
2016,Chevrolet,CRUZE PREMIER,14,4,30,40,34
2016,Chevrolet,SONIC,14,4,27,37,31
2016,Chevrolet,SONIC,14,4,29,40,33
2016,Chevrolet,SONIC,18,4,24,35,28
2016,Chevrolet,SONIC,18,4,26,35,30
2016,Chevrolet,SONIC RS,14,4,25,33,28
2016,Chevrolet,SONIC RS,14,4,27,34,30
2016,Ford,Fiesta ST FWD,16,4,26,33,29
2016,Ford,FOCUS FWD,10,3,28,40,32
2016,Ford,FOCUS FWD,10,3,30,42,35
2016,Ford,FOCUS FWD,20,4,27,40,31
2016,Ford,FOCUS FWD,20,4,26,38,30
2016,Ford,FOCUS FWD,20,4,26,36,30
2016,Ford,Focus FWD FFV,20,4,27,40,31
2016,Ford,Focus FWD FFV,20,4,26,38,30
2016,Ford,Focus FWD FFV,20,4,26,36,30
2016,Honda,CIVIC 2Dr,15,4,31,41,35
2016,Honda,CIVIC 2Dr,20,4,30,41,34
2016,Honda,CIVIC 2Dr,20,4,26,38,31
2016,HYUNDAI MOTOR COMPANY,Accent,16,4,26,37,30
2016,HYUNDAI MOTOR COMPANY,Accent,16,4,27,38,31
2016,HYUNDAI MOTOR COMPANY,Veloster,16,4,27,33,29
2016,HYUNDAI MOTOR COMPANY,Veloster,16,4,28,36,31
2016,HYUNDAI MOTOR COMPANY,Veloster,16,4,25,33,28
2016,HYUNDAI MOTOR COMPANY,Veloster,16,4,27,35,30
2016,INFINITI,Q50 HYBRID,35,6,28,34,30
2016,INFINITI,Q50 HYBRID AWD,35,6,27,31,28
2016,KIA MOTORS CORPORATION,Forte Koup,16,4,22,30,25
2016,KIA MOTORS CORPORATION,Forte Koup,16,4,22,29,25
2016,KIA MOTORS CORPORATION,Forte Koup,20,4,25,34,28
2016,KIA MOTORS CORPORATION,Forte Koup,20,4,24,33,27
2016,KIA MOTORS CORPORATION,Rio,16,4,27,37,31
2016,KIA MOTORS CORPORATION,Rio,16,4,27,38,31
2016,KIA MOTORS CORPORATION,Rio ECO,16,4,28,37,31
2016,LEXUS,CT 200h,18,4,43,40,42
2016,LEXUS,GS F,50,8,16,24,19
2016,LEXUS,IS 200t,20,4,22,33,26
2016,LEXUS,IS 300 AWD,35,6,19,26,21
2016,LEXUS,IS 350,35,6,19,28,22
2016,LEXUS,IS 350 AWD,35,6,19,26,21
2016,MAZDA,CX-3 2WD,20,4,29,35,31
2016,MAZDA,CX-3 4WD,20,4,27,32,29
2016,MAZDA,MAZDA 2,15,4,33,43,37
2016,MAZDA,MAZDA 2,15,4,31,42,35
2016,MAZDA,MAZDA3 4-Door,20,4,30,41,34
2016,MAZDA,MAZDA3 4-Door,20,4,29,41,33
2016,MAZDA,MAZDA3 4-Door,25,4,29,40,33
2016,MAZDA,MAZDA3 4-Door,25,4,28,39,32
2016,MAZDA,MAZDA3 4-Door,25,4,25,37,29
2016,Mercedes-Benz,AMG C 63,40,8,18,25,20
2016,Mercedes-Benz,AMG C 63 S,40,8,18,25,20
2016,Mercedes-Benz,AMG CLA 45 4MATIC,20,4,23,31,26
2016,Mercedes-Benz,AMG CLS 63 S 4MATIC,55,8,16,22,18
2016,Mercedes-Benz,AMG S 63 4MATIC (coupe),55,8,15,23,18
2016,Mercedes-Benz,AMG S 65 (coupe),60,12,13,20,15
2016,Mercedes-Benz,C 300,20,4,25,34,28
2016,Mercedes-Benz,C 300 4MATIC,20,4,24,31,27
2016,Mercedes-Benz,C 450 AMG,30,6,21,29,24
2016,Mercedes-Benz,CLA 250,20,4,26,38,30
2016,Mercedes-Benz,CLA 250 4MATIC,20,4,24,33,27
2016,Mercedes-Benz,CLA 250 4MATIC,20,4,24,33,27
2016,Mercedes-Benz,CLS 400,30,6,20,30,24
2016,Mercedes-Benz,CLS 400 4MATIC,30,6,19,26,22
2016,Mercedes-Benz,CLS 550,47,8,17,26,21
2016,Mercedes-Benz,CLS 550 4MATIC,47,8,17,25,20
2016,Mercedes-Benz,S 550 4MATIC (coupe),47,8,16,24,19
2016,Mini,Mini Cooper Countryman,16,4,25,30,27
2016,Mini,Mini Cooper Countryman,16,4,27,32,29
2016,Mini,Mini Cooper Paceman,16,4,25,30,27
2016,Mini,Mini Cooper Paceman,16,4,27,32,29
2016,Mini,Mini Cooper S Countryman,16,4,25,32,28
2016,Mini,Mini Cooper S Countryman,16,4,26,32,29
2016,Mini,Mini Cooper S Countryman All4,16,4,23,30,26
2016,Mini,Mini Cooper S Countryman All4,16,4,25,31,27
2016,Mini,Mini Cooper S Paceman,16,4,25,32,28
2016,Mini,Mini Cooper S Paceman,16,4,26,32,29
2016,Mini,Mini Cooper S Paceman ALL4,16,4,23,30,26
2016,Mini,Mini Cooper S Paceman ALL4,16,4,25,31,27
2016,Mini,Mini JCW Countryman ALL4,16,4,23,30,26
2016,Mini,Mini JCW Countryman ALL4,16,4,25,31,27
2016,Mini,Mini JCW Paceman ALL4,16,4,23,30,26
2016,Mini,Mini JCW Paceman ALL4,16,4,25,31,27
2016,Mitsubishi Motors Corporation,LANCER,20,4,27,35,30
2016,Mitsubishi Motors Corporation,LANCER,20,4,24,34,28
2016,Mitsubishi Motors Corporation,LANCER,24,4,24,31,27
2016,Mitsubishi Motors Corporation,LANCER,24,4,22,31,25
2016,Mitsubishi Motors Corporation,LANCER 4WD,24,4,23,31,26
2016,NISSAN,VERSA,16,4,26,35,30
2016,NISSAN,VERSA,16,4,31,40,35
2016,NISSAN,VERSA,16,4,27,36,30
2016,Rolls-Royce Motor Cars Limited,Dawn,66,12,12,19,14
2016,Rolls-Royce Motor Cars Limited,Phantom Coupe,67,12,11,19,14
2016,Rolls-Royce Motor Cars Limited,Phantom Drophead Coupe,67,12,11,19,14
2016,SCION,tC,25,4,23,31,26
2016,SCION,tC,25,4,23,31,26
2016,Subaru,IMPREZA,20,4,28,37,31
2016,Subaru,IMPREZA,20,4,25,34,28
2016,Subaru,WRX,20,4,18,24,21
2016,Subaru,WRX,20,4,20,27,23
2016,Subaru,WRX,25,4,17,23,19
2016,TOYOTA,PRIUS c,15,4,53,46,50
2016,TOYOTA,YARIS,15,4,30,36,32
2016,TOYOTA,YARIS,15,4,30,37,33
